idiom_word,idiom_meaning,sentence,i_label,s_label,reason
অথৈ জলে পড়া,চরম বিপদে পড়া,মার চাকরি চলে যাওয়ায় পরিবার অথৈ জলে পড়েছে,1,1,উক্ত 'অথৈ জলে পড়া' বাগধারাটির অর্থ হলো 'চরম বিপদে পড়া' এবং এটি সঠিকভাবে ব্যবহৃত হয়েছে।
অথৈ জলে পড়া,চরম বিপদে পড়া,ব্যবসায় বড় লোকসান হওয়ায় সুমন অথৈ জলে পড়লো,1,1,উক্ত 'অথৈ জলে পড়া' বাগধারাটির অর্থ হলো 'চরম বিপদে পড়া' এবং এটি সঠিকভাবে ব্যবহৃত হয়েছে।
অথৈ জলে পড়া,চরম বিপদে পড়া,পরীক্ষায় ফেল করলে মনির অথৈ জলে পড়বে,1,1,উক্ত 'অথৈ জলে পড়া' বাগধারাটির অর্থ হলো 'চরম বিপদে পড়া' এবং এটি সঠিকভাবে ব্যবহৃত হয়েছে।
অথৈ জলে পড়া,চরম বিপদে পড়া,আইনি জটিলতায় পড়ে তিনি অথৈ জলে পড়েছেন,1,1,উক্ত 'অথৈ জলে পড়া' বাগধারাটির অর্থ হলো 'চরম বিপদে পড়া' এবং এটি সঠিকভাবে ব্যবহৃত হয়েছে।
অথৈ জলে পড়া,চরম বিপদে পড়া,প্রতারকদের ফাঁদে পড়ে সে অথৈ জলে পড়েছে,1,1,উক্ত 'অথৈ জলে পড়া' বাগধারাটির অর্থ হলো 'চরম বিপদে পড়া' এবং এটি সঠিকভাবে ব্যবহৃত হয়েছে।
অথৈ জলে পড়া,চরম বিপদে পড়া,"ছেলেটা ভালো ফল করেছে, তাই পরিবার অথৈ জলে পড়েনি",1,0,"উক্ত 'অথৈ জলে পড়া' বাগধারাটির অর্থ হলো 'চরম বিপদে পড়া', কিন্তু এটি 'ভালো ফলাফল' বোঝাতে ব্যবহার করা হয়েছে, যা ভুল"
অথৈ জলে পড়া,চরম বিপদে পড়া,নিয়ম মেনে চললে জীবনে অথৈ জল আসে না,1,0,"উক্ত 'অথৈ জলে পড়া' বাগধারাটির অর্থ হলো 'চরম বিপদে পড়া', কিন্তু এটি 'সুশৃঙ্খল জীবন' বোঝাতে ব্যবহার করা হয়েছে, যা ভুল"
অথৈ জলে পড়া,চরম বিপদে পড়া,প্রকৃতির সৌন্দর্য দেখে আমি অথৈ জলে পড়লাম,1,0,"উক্ত 'অথৈ জলে পড়া' বাগধারাটির অর্থ হলো 'চরম বিপদে পড়া', কিন্তু এটি 'মুগ্ধতা' বোঝাতে ব্যবহার করা হয়েছে, যা ভুল"
অথৈ জলে পড়া,চরম বিপদে পড়া,খেলাধুলা করে সে অথৈ জল থেকে মুক্ত হয়েছে,1,0,"উক্ত 'অথৈ জলে পড়া' বাগধারাটির অর্থ হলো 'চরম বিপদে পড়া', কিন্তু এটি 'সুস্থ জীবনযাত্রা' বোঝাতে ব্যবহার করা হয়েছে, যা ভুল"
অথৈ জলে পড়া,চরম বিপদে পড়া,আরুলের সৎ জীবনে কোনো অথৈ জল নেই,1,0,"উক্ত 'অথৈ জলে পড়া' বাগধারাটির অর্থ হলো 'চরম বিপদে পড়া', কিন্তু এটি 'সৎ জীবনযাপন' বোঝাতে ব্যবহার করা হয়েছে, যা ভুল"
অর্ধচন্দ্র,ঘাড় ধাক্কা দেওয়া,বড়লোকটি ছেলেটিকে অর্ধচন্দ্র দিয়ে বের করে দিলেন,1,1,উক্ত 'অর্ধচন্দ্র' বাগধারাটির অর্থ হলো 'ঘাড় ধাক্কা দেওয়া' এবং এটি সঠিকভাবে ব্যবহৃত হয়েছে।
অর্ধচন্দ্র,ঘাড় ধাক্কা দেওয়া,মালিকের সামনে বেশি বলায় তাকে অর্ধচন্দ্র পেতে হলো,1,1,উক্ত 'অর্ধচন্দ্র' বাগধারাটির অর্থ হলো 'ঘাড় ধাক্কা দেওয়া' এবং এটি সঠিকভাবে ব্যবহৃত হয়েছে।
অর্ধচন্দ্র,ঘাড় ধাক্কা দেওয়া,অফিসে দেরি করায় ম্যানেজার তাকে অর্ধচন্দ্র দিলেন,1,1,উক্ত 'অর্ধচন্দ্র' বাগধারাটির অর্থ হলো 'ঘাড় ধাক্কা দেওয়া' এবং এটি সঠিকভাবে ব্যবহৃত হয়েছে।
অর্ধচন্দ্র,ঘাড় ধাক্কা দেওয়া,জমি দখল করতে গিয়ে সে অর্ধচন্দ্র খেয়েছে,1,1,উক্ত 'অর্ধচন্দ্র' বাগধারাটির অর্থ হলো 'ঘাড় ধাক্কা দেওয়া' এবং এটি সঠিকভাবে ব্যবহৃত হয়েছে।
অর্ধচন্দ্র,ঘাড় ধাক্কা দেওয়া,লোকটি জোর করে ঢুকলে মালিক তাকে অর্ধচন্দ্র দিলেন,1,1,উক্ত 'অর্ধচন্দ্র' বাগধারাটির অর্থ হলো 'ঘাড় ধাক্কা দেওয়া' এবং এটি সঠিকভাবে ব্যবহৃত হয়েছে।
অর্ধচন্দ্র,ঘাড় ধাক্কা দেওয়া,আকাশে আজ অর্ধচন্দ্র দেখা গেছে,1,0,"উক্ত 'অর্ধচন্দ্র' বাগধারাটির অর্থ হলো 'ঘাড় ধাক্কা দেওয়া', কিন্তু এটি 'চাঁদের আকার' বোঝাতে ব্যবহার করা হয়েছে, যা ভুল"
অর্ধচন্দ্র,ঘাড় ধাক্কা দেওয়া,যা আঙুল দিয়ে অর্ধচন্দ্র বানিয়েছে,1,0,"উক্ত 'অর্ধচন্দ্র' বাগধারাটির অর্থ হলো 'ঘাড় ধাক্কা দেওয়া', কিন্তু এটি 'আঙুলের আকার' বোঝাতে ব্যবহার করা হয়েছে, যা ভুল"
অর্ধচন্দ্র,ঘাড় ধাক্কা দেওয়া,কৃষক অর্ধচন্দ্র দিয়ে ঘাস কাটছে,1,0,"উক্ত 'অর্ধচন্দ্র' বাগধারাটির অর্থ হলো 'ঘাড় ধাক্কা দেওয়া', কিন্তু এটি 'একটি যন্ত্র' বোঝাতে ব্যবহার করা হয়েছে, যা ভুল"
অর্ধচন্দ্র,ঘাড় ধাক্কা দেওয়া,সবাই ঈদের চাঁদ দেখতে অর্ধচন্দ্র খুঁজছিল,1,0,"উক্ত 'অর্ধচন্দ্র' বাগধারাটির অর্থ হলো 'ঘাড় ধাক্কা দেওয়া', কিন্তু এটি 'চাঁদ খোঁজা' বোঝাতে ব্যবহার করা হয়েছে, যা ভুল"
অর্ধচন্দ্র,ঘাড় ধাক্কা দেওয়া,আমি বাগানে অর্ধচন্দ্র দেখেছি,1,0,"উক্ত 'অর্ধচন্দ্র' বাগধারাটির অর্থ হলো 'ঘাড় ধাক্কা দেওয়া', কিন্তু এটি 'বাগানে চাঁদ দেখা' বোঝাতে ব্যবহার করা হয়েছে, যা ভুল"
গভীর জলের মাছ,চালাক ব্যক্তি,অফিসের মহিলাটি খুব গভীর জলের মাছ,1,1,উক্ত 'গভীর জলের মাছ' বাগধারাটির অর্থ হলো 'চালাক ব্যক্তি' এবং এটি সঠিকভাবে ব্যবহৃত হয়েছে।
গভীর জলের মাছ,চালাক ব্যক্তি,রুপা রাজনীতিতে গভীর জলের মাছ,1,1,উক্ত 'গভীর জলের মাছ' বাগধারাটির অর্থ হলো 'চালাক ব্যক্তি' এবং এটি সঠিকভাবে ব্যবহৃত হয়েছে।
গভীর জলের মাছ,চালাক ব্যক্তি,নতুন প্রতিবেশী আসলে গভীর জলের মাছ,1,1,উক্ত 'গভীর জলের মাছ' বাগধারাটির অর্থ হলো 'চালাক ব্যক্তি' এবং এটি সঠিকভাবে ব্যবহৃত হয়েছে।
গভীর জলের মাছ,চালাক ব্যক্তি,রুজি চুপচাপ কিন্তু গভীর জলের মাছ,1,1,উক্ত 'গভীর জলের মাছ' বাগধারাটির অর্থ হলো 'চালাক ব্যক্তি' এবং এটি সঠিকভাবে ব্যবহৃত হয়েছে।
গভীর জলের মাছ,চালাক ব্যক্তি,ব্যবসায় টিকে থাকতে গভীর জলের মাছ হতে হয়,1,1,উক্ত 'গভীর জলের মাছ' বাগধারাটির অর্থ হলো 'চালাক ব্যক্তি' এবং এটি সঠিকভাবে ব্যবহৃত হয়েছে।
গভীর জলের মাছ,চালাক ব্যক্তি,পুকুরে গভীর জলের মাছ আছে,1,0,"উক্ত 'গভীর জলের মাছ' বাগধারাটির অর্থ হলো 'চালাক ব্যক্তি', কিন্তু এটি 'আসল মাছ' বোঝাতে ব্যবহার করা হয়েছে, যা ভুল"
গভীর জলের মাছ,চালাক ব্যক্তি,গভীর জলের মাছ ধরার জন্য আমি বড়শি কিনেছি,1,0,"উক্ত 'গভীর জলের মাছ' বাগধারাটির অর্থ হলো 'চালাক ব্যক্তি', কিন্তু এটি 'আসল মাছ ধরা' বোঝাতে ব্যবহার করা হয়েছে, যা ভুল"
গভীর জলের মাছ,চালাক ব্যক্তি,আমি গভীর জলের মাছ ধরতে পারিনি,1,0,"উক্ত 'গভীর জলের মাছ' বাগধারাটির অর্থ হলো 'চালাক ব্যক্তি', কিন্তু এটি 'আসল মাছ ধরা' বোঝাতে ব্যবহার করা হয়েছে, যা ভুল"
গভীর জলের মাছ,চালাক ব্যক্তি,মা বলেন গভীর জলের মাছ খাওয়া ভালো,1,0,"উক্ত 'গভীর জলের মাছ' বাগধারাটির অর্থ হলো 'চালাক ব্যক্তি', কিন্তু এটি 'খাদ্য হিসেবে আসল মাছ' বোঝাতে ব্যবহার করা হয়েছে, যা ভুল"
গভীর জলের মাছ,চালাক ব্যক্তি,ভালো করতে হলে গভীর জলের মাছের মতো পড়তে হবে,1,0,"উক্ত 'গভীর জলের মাছ' বাগধারাটির অর্থ হলো 'চালাক ব্যক্তি', কিন্তু এটি 'পরিশ্রম' বোঝাতে ব্যবহার করা হয়েছে, যা ভুল"
অনধিকার চর্চা,সীমা লঙ্ঘন করা,দুই ভাইয়ের ঝগড়ায় প্রতিবেশী অনধিকার চর্চা করলো,1,1,উক্ত 'অনধিকার চর্চা' বাগধারাটির অর্থ হলো 'সীমা লঙ্ঘন করা' এবং এটি সঠিকভাবে ব্যবহৃত হয়েছে।
অনধিকার চর্চা,সীমা লঙ্ঘন করা,দোকানের কাজে কর্মচারী অনধিকার চর্চা করল,1,1,উক্ত 'অনধিকার চর্চা' বাগধারাটির অর্থ হলো 'সীমা লঙ্ঘন করা' এবং এটি সঠিকভাবে ব্যবহৃত হয়েছে।
অনধিকার চর্চা,সীমা লঙ্ঘন করা,সরকারি কাজে স্থানীয় নেতা অনধিকার চর্চা করল,1,1,উক্ত 'অনধিকার চর্চা' বাগধারাটির অর্থ হলো 'সীমা লঙ্ঘন করা' এবং এটি সঠিকভাবে ব্যবহৃত হয়েছে।
অনধিকার চর্চা,সীমা লঙ্ঘন করা,বন্ধুর প্রেমের বিষয়ে সে অনধিকার চর্চা করল,1,1,উক্ত 'অনধিকার চর্চা' বাগধারাটির অর্থ হলো 'সীমা লঙ্ঘন করা' এবং এটি সঠিকভাবে ব্যবহৃত হয়েছে।
অনধিকার চর্চা,সীমা লঙ্ঘন করা,রোগীর চিকিৎসায় সাধারণ মানুষ অনধিকার চর্চা করল,1,1,উক্ত 'অনধিকার চর্চা' বাগধারাটির অর্থ হলো 'সীমা লঙ্ঘন করা' এবং এটি সঠিকভাবে ব্যবহৃত হয়েছে।
অনধিকার চর্চা,সীমা লঙ্ঘন করা,বন্ধু ছবি আঁকছিল আমি অনধিকার চর্চা করে মত দিলাম,1,0,"উক্ত 'অনধিকার চর্চা' বাগধারাটির অর্থ হলো 'সীমা লঙ্ঘন করা', কিন্তু এটি 'বন্ধুকে পরামর্শ দেওয়া' বোঝাতে ব্যবহার করা হয়েছে, যা ভুল"
অনধিকার চর্চা,সীমা লঙ্ঘন করা,একজন পথচারীকে সাহায্য করাকে অনধিকার চর্চা বলা হয়েছে,1,0,"উক্ত 'অনধিকার চর্চা' বাগধারাটির অর্থ হলো 'সীমা লঙ্ঘন করা', কিন্তু এটি 'কাউকে সাহায্য করা' বোঝাতে ব্যবহার করা হয়েছে, যা ভুল"
অনধিকার চর্চা,সীমা লঙ্ঘন করা,মা ছেলেকে পড়ার পরামর্শ দিয়ে অনধিকার চর্চা করলেন,1,0,"উক্ত 'অনধিকার চর্চা' বাগধারাটির অর্থ হলো 'সীমা লঙ্ঘন করা', কিন্তু এটি 'অভিভাবকের পরামর্শ' বোঝাতে ব্যবহার করা হয়েছে, যা ভুল"
অনধিকার চর্চা,সীমা লঙ্ঘন করা,দুই বন্ধুর কথায় তৃতীয় বন্ধু অনধিকার চর্চা করল,1,0,"উক্ত 'অনধিকার চর্চা' বাগধারাটির অর্থ হলো 'সীমা লঙ্ঘন করা', কিন্তু এটি 'সাধারণ মত দেওয়া' বোঝাতে ব্যবহার করা হয়েছে, যা ভুল"
অনধিকার চর্চা,সীমা লঙ্ঘন করা,পুলিশ অপরাধী ধরেছে এটিকে অনধিকার চর্চা বলা ভুল,1,0,"উক্ত 'অনধিকার চর্চা' বাগধারাটির অর্থ হলো 'সীমা লঙ্ঘন করা', কিন্তু এটি 'পুলিশ কর্তব্য' বোঝাতে ব্যবহার করা হয়েছে, যা ভুল"
অমাবস্যার চাঁদ,দুর্লভ বস্তু বা ব্যক্তি,মার বদলির পর থেকে তিনি অমাবস্যার চাঁদ হয়েছেন,1,1,উক্ত 'অমাবস্যার চাঁদ' বাগধারাটির অর্থ হলো 'দুর্লভ বস্তু বা ব্যক্তি' এবং এটি সঠিকভাবে ব্যবহৃত হয়েছে।
অমাবস্যার চাঁদ,দুর্লভ বস্তু বা ব্যক্তি,বন্ধুর অনেকদিন পর দেখা পেয়ে সবাই বলল সে অমাবস্যার চাঁদ,1,1,উক্ত 'অমাবস্যার চাঁদ' বাগধারাটির অর্থ হলো 'দুর্লভ বস্তু বা ব্যক্তি' এবং এটি সঠিকভাবে ব্যবহৃত হয়েছে।
অমাবস্যার চাঁদ,দুর্লভ বস্তু বা ব্যক্তি,এই সময়ে টাকা পাওয়া যেন অমাবস্যার চাঁদ পাওয়া,1,1,উক্ত 'অমাবস্যার চাঁদ' বাগধারাটির অর্থ হলো 'দুর্লভ বস্তু বা ব্যক্তি' এবং এটি সঠিকভাবে ব্যবহৃত হয়েছে।
অমাবস্যার চাঁদ,দুর্লভ বস্তু বা ব্যক্তি,ছেলেটি মায়ের কাছে এখন অমাবস্যার চাঁদ,1,1,উক্ত 'অমাবস্যার চাঁদ' বাগধারাটির অর্থ হলো 'দুর্লভ বস্তু বা ব্যক্তি' এবং এটি সঠিকভাবে ব্যবহৃত হয়েছে।
অমাবস্যার চাঁদ,দুর্লভ বস্তু বা ব্যক্তি,দুর্লভ বইটি খুঁজে পাওয়া যেন অমাবস্যার চাঁদ পাওয়া,1,1,উক্ত 'অমাবস্যার চাঁদ' বাগধারাটির অর্থ হলো 'দুর্লভ বস্তু বা ব্যক্তি' এবং এটি সঠিকভাবে ব্যবহৃত হয়েছে।
অমাবস্যার চাঁদ,দুর্লভ বস্তু বা ব্যক্তি,পূর্ণিমার রাতে চাঁদ দেখা অমাবস্যার চাঁদ নয়,1,0,"উক্ত 'অমাবস্যার চাঁদ' বাগধারাটির অর্থ হলো 'দুর্লভ', কিন্তু এটি 'সাধারণ চাঁদ' বোঝাতে ব্যবহার করা হয়েছে, যা ভুল"
অমাবস্যার চাঁদ,দুর্লভ বস্তু বা ব্যক্তি,শিশুটি মাটিতে অমাবস্যার চাঁদ কুড়িয়ে পেল,1,0,"উক্ত 'অমাবস্যার চাঁদ' বাগধারাটির অর্থ হলো 'দুর্লভ', কিন্তু এটি 'বাস্তব বস্তু' বোঝাতে ব্যবহার করা হয়েছে, যা ভুল"
অমাবস্যার চাঁদ,দুর্লভ বস্তু বা ব্যক্তি,ছেলেটি সহজেই লটারি জিতল এটিকে অমাবস্যার চাঁদ বলা ভুল,1,0,"উক্ত 'অমাবস্যার চাঁদ' বাগধারাটির অর্থ হলো 'দুর্লভ', কিন্তু এটি 'সহজলভ্য' বোঝাতে ব্যবহার করা হয়েছে, যা ভুল"
অমাবস্যার চাঁদ,দুর্লভ বস্তু বা ব্যক্তি,অমাবস্যার রাতে আকাশে অমাবস্যার চাঁদ দেখা গেল,1,0,"উক্ত 'অমাবস্যার চাঁদ' বাগধারাটির অর্থ হলো 'দুর্লভ', কিন্তু এটি 'বাস্তববিরুদ্ধভাবে' বোঝাতে ব্যবহার করা হয়েছে, যা ভুল"
অমাবস্যার চাঁদ,দুর্লভ বস্তু বা ব্যক্তি,প্রতিদিন খেলতে গেলে অমাবস্যার চাঁদ পাওয়া যায়,1,0,"উক্ত 'অমাবস্যার চাঁদ' বাগধারাটির অর্থ হলো 'দুর্লভ', কিন্তু এটি 'সহজলভ্য জিনিস' বোঝাতে ব্যবহার করা হয়েছে, যা ভুল"
অলক্ষ্মীর দশা,চরম দারিদ্র্য,লোকসানে পড়ে তার পরিবারে এখন অলক্ষ্মীর দশা,1,1,উক্ত 'অলক্ষ্মীর দশা' বাগধারাটির অর্থ হলো 'চরম দারিদ্র্য' এবং এটি সঠিকভাবে ব্যবহৃত হয়েছে।
অলক্ষ্মীর দশা,চরম দারিদ্র্য,জমি বিক্রি হওয়ায় এখন তাদের বাড়িতে অলক্ষ্মীর দশা,1,1,উক্ত 'অলক্ষ্মীর দশা' বাগধারাটির অর্থ হলো 'চরম দারিদ্র্য' এবং এটি সঠিকভাবে ব্যবহৃত হয়েছে।
অলক্ষ্মীর দশা,চরম দারিদ্র্য,নেশায় সব টাকা উড়িয়ে মালেক এখন অলক্ষ্মীর দশায়,1,1,উক্ত 'অলক্ষ্মীর দশা' বাগধারাটির অর্থ হলো 'চরম দারিদ্র্য' এবং এটি সঠিকভাবে ব্যবহৃত হয়েছে।
অলক্ষ্মীর দশা,চরম দারিদ্র্য,অযত্নে পড়ে থাকা বাড়িটিতে এখন অলক্ষ্মীর দশা,1,1,উক্ত 'অলক্ষ্মীর দশা' বাগধারাটির অর্থ হলো 'চরম দারিদ্র্য' এবং এটি সঠিকভাবে ব্যবহৃত হয়েছে।
অলক্ষ্মীর দশা,চরম দারিদ্র্য,অসৎ পথে চলায় নিয়াস এখন অলক্ষ্মীর দশায় পড়েছে,1,1,উক্ত 'অলক্ষ্মীর দশা' বাগধারাটির অর্থ হলো 'চরম দারিদ্র্য' এবং এটি সঠিকভাবে ব্যবহৃত হয়েছে।
অলক্ষ্মীর দশা,চরম দারিদ্র্য,মেয়েটি হাসছে তাই তাকে অলক্ষ্মীর দশা বলা হলো,1,0,"উক্ত 'অলক্ষ্মীর দশা' বাগধারাটির অর্থ হলো 'চরম দারিদ্র্য', কিন্তু এটি 'আনন্দ' বোঝাতে ব্যবহার করা হয়েছে, যা ভুল"
অলক্ষ্মীর দশা,চরম দারিদ্র্য,ফল খারাপ হওয়ায় তার অলক্ষ্মীর দশা হয়েছে,1,0,"উক্ত 'অলক্ষ্মীর দশা' বাগধারাটির অর্থ হলো 'চরম দারিদ্র্য', কিন্তু এটি 'সাময়িক ব্যর্থতা' বোঝাতে ব্যবহার করা হয়েছে, যা ভুল"
অলক্ষ্মীর দশা,চরম দারিদ্র্য,রান্না খারাপ হওয়ায় অলক্ষ্মীর দশায় পরিণত হয়েছে,1,0,"উক্ত 'অলক্ষ্মীর দশা' বাগধারাটির অর্থ হলো 'চরম দারিদ্র্য', কিন্তু এটি 'খাবারের মান' বোঝাতে ব্যবহার করা হয়েছে, যা ভুল"
অলক্ষ্মীর দশা,চরম দারিদ্র্য,বৃষ্টিতে মাঠ ভিজে অলক্ষ্মীর দশা হয়েছে,1,0,"উক্ত 'অলক্ষ্মীর দশা' বাগধারাটির অর্থ হলো 'চরম দারিদ্র্য', কিন্তু এটি 'জায়গার অবস্থা' বোঝাতে ব্যবহার করা হয়েছে, যা ভুল"
অলক্ষ্মীর দশা,চরম দারিদ্র্য,বিদেশে গিয়ে অলক্ষ্মীর দশা কাটানো ভুল,1,0,"উক্ত 'অলক্ষ্মীর দশা' বাগধারাটির অর্থ হলো 'চরম দারিদ্র্য', কিন্তু এটি 'স্থান পরিবর্তন' বোঝাতে ব্যবহার করা হয়েছে, যা ভুল"
অতি দর্পে হত লঙ্কা,অহংকার পতনের কারণ,তোমার ফল ভালো হয়েছে বলে অহংকার করো না কারণ অতি দর্পে হত লঙ্কা,1,1,উক্ত 'অতি দর্পে হত লঙ্কা' বাগধারাটির অর্থ হলো 'অহংকার পতনের কারণ' এবং এটি সঠিকভাবে ব্যবহৃত হয়েছে।
অতি দর্পে হত লঙ্কা,অহংকার পতনের কারণ,পদোন্নতি পেয়েছো বলে নিজেকে বড় ভাবো না কারণ অতি দর্পে হত লঙ্কা,1,1,উক্ত 'অতি দর্পে হত লঙ্কা' বাগধারাটির অর্থ হলো 'অহংকার পতনের কারণ' এবং এটি সঠিকভাবে ব্যবহৃত হয়েছে।
অতি দর্পে হত লঙ্কা,অহংকার পতনের কারণ,"শফিক প্রতিদ্বন্দ্বীকে তুচ্ছতাচ্ছিল্য কটা, তাই সবাই বলল, অতি দর্পে হত লঙ্কা",1,1,উক্ত 'অতি দর্পে হত লঙ্কা' বাগধারাটির অর্থ হলো 'অহংকার পতনের কারণ' এবং এটি সঠিকভাবে ব্যবহৃত হয়েছে।
অতি দর্পে হত লঙ্কা,অহংকার পতনের কারণ,"ক্রিকেট খেলোয়াড় দলের জয়ে অহংকার দেখাল, তাই দর্শক বলল, অতি দর্পে হত লঙ্কা",1,1,উক্ত 'অতি দর্পে হত লঙ্কা' বাগধারাটির অর্থ হলো 'অহংকার পতনের কারণ' এবং এটি সঠিকভাবে ব্যবহৃত হয়েছে।
অতি দর্পে হত লঙ্কা,অহংকার পতনের কারণ,"আফতাব খারাপ ব্যবহার করাই ব্যবসায় লোকসান হলো, প্রতিবেশীরা বলল, অতি দর্পে হত লঙ্কা",1,1,উক্ত 'অতি দর্পে হত লঙ্কা' বাগধারাটির অর্থ হলো 'অহংকার পতনের কারণ' এবং এটি সঠিকভাবে ব্যবহৃত হয়েছে।
অতি দর্পে হত লঙ্কা,অহংকার পতনের কারণ,মিথিল ভালো গান করে কিন্তু অতি দর্পে হত লঙ্কা,1,0,"উক্ত 'অতি দর্পে হত লঙ্কা' বাগধারাটির অর্থ হলো 'অহংকার পতনের কারণ', কিন্তু এটি 'প্রশংসা' বোঝাতে ব্যবহার করা হয়েছে, যা ভুল"
অতি দর্পে হত লঙ্কা,অহংকার পতনের কারণ,সাকিব পরিশ্রমী কিন্তু অতি দর্পে হত লঙ্কা,1,0,"উক্ত 'অতি দর্পে হত লঙ্কা' বাগধারাটির অর্থ হলো 'অহংকার পতনের কারণ', কিন্তু এটি 'পরিশ্রম' বোঝাতে ব্যবহার করা হয়েছে, যা ভুল"
অতি দর্পে হত লঙ্কা,অহংকার পতনের কারণ,"আমি লক্ষ্য অর্জন করেছি কিন্তু বন্ধু বলল, অতি দর্পে হত লঙ্কা",1,0,"উক্ত 'অতি দর্পে হত লঙ্কা' বাগধারাটির অর্থ হলো 'অহংকার পতনের কারণ', কিন্তু এটি 'আনন্দ' বোঝাতে ব্যবহার করা হয়েছে, যা ভুল"
অতি দর্পে হত লঙ্কা,অহংকার পতনের কারণ,"নতুন গাড়ি সুন্দর কিন্তু মা বলল, অতি দর্পে হত লঙ্কা",1,0,"উক্ত 'অতি দর্পে হত লঙ্কা' বাগধারাটির অর্থ হলো 'অহংকার পতনের কারণ', কিন্তু এটি 'সাধারণ প্রশংসা' বোঝাতে ব্যবহার করা হয়েছে, যা ভুল"
অতি দর্পে হত লঙ্কা,অহংকার পতনের কারণ,দ্রুত হাঁট না হলে অতি দর্পে হত লঙ্কা হবে,1,0,"উক্ত 'অতি দর্পে হত লঙ্কা' বাগধারাটির অর্থ হলো 'অহংকার পতনের কারণ', কিন্তু এটি 'দ্রুত হাঁটা' বোঝাতে ব্যবহার করা হয়েছে, যা ভুল"
অকাল বোধন,অসময়ে কোনো কাজ শুরু করা,এই বয়সে হঠাৎ পড়াশোনা শুরু করা তার জীবনের এক অকাল বোধন,1,1,উক্ত 'অকাল বোধন' বাগধারাটির অর্থ হলো 'অসময়ে কোনো কাজ শুরু করা' এবং এটি সঠিকভাবে ব্যবহৃত হয়েছে।
অকাল বোধন,অসময়ে কোনো কাজ শুরু করা,"অসময়েই তিনি রাজনৈতিক জীবনে প্রবেশ করে সকলের নজর কেড়েছেন, এ যেন এক অকাল বোধন",1,1,উক্ত 'অকাল বোধন' বাগধারাটির অর্থ হলো 'অসময়ে কোনো কাজ শুরু করা' এবং এটি সঠিকভাবে ব্যবহৃত হয়েছে।
