idiom_word,idiom_meaning
অঞ্চলনিধি,অত্যন্ত প্রিয় সন্তান
অঞ্চলপ্রভাব,স্বামীর উপর স্ত্রীর প্রভুত্ব
অতঃকিম,এরপর কী
অতশত,খুঁটিনাটি
অতিকথায় বার্তা নষ্ট,বাকচাতুর্যে মূলবক্তব্য হারিয়ে যায়
অতিগর্জনে ফোঁটাবৃষ্টি,হাঁকডাকের তুলনায় কম ফল
অতিঘরন্তি,গৃহকর্মে নিপুণা কুমারী
অতি চালাকের গলায় দড়ি,বেশি চালাকির অশুভ পরিণাম
অতিদর্পে হত লঙ্কা,অহঙ্কারে পতন
অতিভক্তি চোরের লক্ষণ,অতিরিক্ত ভক্তিতে গোপন উদ্দেশ্য
অতিলোভে তাঁতী নষ্ট,অতিরিক্ত লোভে ক্ষতি
অথৈ জল,চরম সংকট
অথৈ জলের মাছ,সুচতুর ব্যক্তি
অদল-বদল,তুল্য বিষয়ের পরিবর্তন
অদানে অব্রাহ্মণে,বাজে কাজে অর্থ ব্যয়
অদিনে অক্ষণে,দুর্দিনে ও কুক্ষণে
অদৃষ্টের কিল,ভাগ্যবিপর্যয়
অধঃপাতে যাওয়া,উচ্ছন্নে যাওয়া
অধমাধম,অত্যন্ত নিকৃষ্ট
অধিকগর্জনে অল্পবর্ষণ,বেশি ডাকলে কম ফল
অধিক সন্ন্যাসীতে গাজন নষ্ট,বহু ব্যক্তির মতভেদে কাজ পণ্ড
অধিবাস,পূজা বা বিয়ের আগে পালনীয় সংস্কার
অধিবিন্না,দ্বিতীয় বিবাহিত পুরুষের জীবিত প্রথমা পত্নী
অধিবেত্তা,প্রথম স্ত্রীর বন্ধ্যাত্বে দ্বিতীয় বিবাহকারী পুরুষ
অধিমাস,অতিরিক্ত চান্দ্রমাস
অনন্তনিদ্রা,চিরনিদ্রা
অনন্তবালা,হাতে পরার অলঙ্কার
অনন্তরূপিণী,নানারূপধারিণী
অনন্তশয়ন,চিরনিদ্রা
অনভ্যাসের ফোঁটা,প্রাথমিক অস্বস্তি
অনলে জল ঢালা,উত্তেজনা হ্রাস
অনাগতবিধাতা,ভবিষ্যতের জন্য সংস্থানকারী
অনাথের নাথ,ঈশ্বর
অনাথো দৈবরক্ষক,ঈশ্বর অনাথকে রক্ষা করেন
অনামিকা,কড়ে আঙুলের পাশের নামছাড়া আঙুল
অনামুখো,কুৎসিত ব্যক্তি
অনাসৃষ্টি,অদ্ভুত
অনাহারী,অবৈতনিক
অনিষ্টে ইষ্টলাভ,মন্দ থেকে ভালো ফল
অনুপান,ঔষধের সাথে পেয় মিষ্টিরস
অনুরোধে ঢেঁকি গেলা,অনুরোধে দুরূহ কাজে সম্মত হওয়া
অনুলোম বিবাহ,উচ্চবর্ণের পাত্রের সাথে নীচবর্ণের পাত্রীর বিয়ে
অনেক কাঠখড় পুড়িয়ে,বহু চেষ্টা ও পরিশ্রম করে
অনেক জলের মাছ,অত্যন্ত চালাক
অনেক সন্ন্যাসীতে গাজন নষ্ট,বহুজনের কর্তৃত্বে কাজে বিশৃঙ্খলা
অন্তর টিপুনি,গোপন ব্যথা
অন্তরাত্মা,জীবাত্মা
অন্তর্জলি,হিন্দু মুমূর্ষুর নিম্নাঙ্গ গঙ্গাজলে নিমজ্জন
অন্তর্জলি যাত্রা,পতন বা মৃত্যু আসন্ন
অন্তর্দাহ,ঈর্ষাজনিত গাত্রদাহ
অন্তিমদশা,মরণকাল
অন্ধ ও খোঁড়ার পথ চলা,অন্ধের সাহায্যে খোঁড়ার পথ চলা
অন্ধকার দেখা,বিপদের আশঙ্কায় দিশেহারা হওয়া
অন্ধকার দেখানো,বিপদে ফেলা
অন্ধকারে উকুন বাছা,অসম্ভব কাজ
অন্ধকারে কালো বিড়াল খোঁজা,অসম্ভব কাজ
অন্ধকারে ঢিল ছোঁড়া,অনিশ্চয়তায় কিছু করা
অন্ধকারে থাকা,কিছু না জানা
অন্ধকারে হাতড়ানো,অনুমানে কিছু করা
অন্ধকূপ,নিবিড় অন্ধকারময় কক্ষ
অন্ধকে দর্পণ দেখানো,মূর্খকে জ্ঞান দেওয়া
অন্ধগোলাঙ্গুলন্যায়,মূর্খের উপদেশে বিপদ
অন্ধপঙ্গুন্যায়,পরস্পরের অভাব পূরণ
অন্ধপরম্পরান্যায়,অজ্ঞদের কথায় বিশ্বাসযোগ্যতা না থাকা
অন্ধবিশ্বাস,যুক্তিহীন আস্থা
অন্ধভক্তি,যুক্তিবর্জিত আনুগত্য
অন্ধ হওয়া,পক্ষপাতদুষ্ট হওয়া
অন্ধহস্তীন্যায়,অসম্পূর্ণ বিচার
অন্ধিসন্ধি,গোপন তথ্য
অন্ধের দেশে কানা রাজা,মূর্খের দলে অজ্ঞ নেতা
অন্ধের যষ্টি,অসহায়ের সহায়
অন্ধের হস্তীদর্শন,অসম্পূর্ণ বিচার
অন্ন ওঠা,জীবিকার পথ বন্ধ হওয়া
অন্নগত প্রাণ,বিষয়াসক্তি
অন্নচিন্তা চমৎকারা,আহার জোগাড়ের কঠিন চিন্তা
অন্নজল,শ্রাদ্ধে প্রেতের উদ্দেশ্যে প্রদত্ত ভোজ্য
অন্নজল ওঠা,জীবিকার উপায় শেষ
অন্নজলের নাড়ী কোটা,শিশুর ভাতজল খাওয়ার বয়স হওয়া
অন্নজলের বরাত ওঠা,আয়ু শেষ হওয়া
অন্নদাস,পেটের জন্য পরের আজ্ঞাবহ
অন্নধ্বংস করা,অলসভাবে জীবন কাটানো
অন্নপ্রাশনের ভাত ওঠা,বমির উদ্রেক হওয়া
অন্নবল,অর্থবল
অন্নবস্ত্র,খাওয়াপড়ার ব্যবস্থা
অন্নময় কোষ,স্থূল হৃষ্টপুষ্ট শরীর
অন্ন মারা,জীবিকার পথ বন্ধ করা
অন্নসঙ্কট,খাদ্যাভাব
অন্নসংস্থান,জীবিকার ব্যবস্থা
অন্যপুষ্ট,অন্যদ্বারা প্রতিপালিত
অন্যপূর্বা,পূর্বে বিবাহিতা নারী
অপত্যস্নেহ,সন্তানের প্রতি পিতামাতার স্নেহ
অপদার্থ,অকর্মণ্য
অপরূপ,কদাকার
অপাঙ্‌ক্তেয়,গুরুত্বহীন
অপোগণ্ড,অকর্মণ্য
অবতার,অদ্ভুত মূর্তি
অবরে-সবরে,সময়ে-অসময়ে
অবলা-অখলা,খলতাশূন্য সরল নারী
অবশ্য অবশ্য,নিশ্চয়ই
অবস্থা বুঝে ব্যবস্থা,পরিস্থিতি বিবেচনায় কার্যক্রম
অবস্থার দাস,পরিস্থিতির শিকার
অবাকজলপান,তেল লবণ লঙ্কা সহযোগে মুখরোচক খাদ্য
অব্রাহ্মণের দীর্ঘফোঁটা,মেকি ব্রাহ্মণের ভড়ং
অভদ্রাকাল,দুঃসময়
অভাবে স্বভাব নষ্ট,অনটনে সৎপথে থাকা যায় না
অভেদাত্মা হরিহর,অভিন্নহৃদয় বন্ধু
অমনি অমনি,বিনাকারণ
অমনি একরকম,মোটামুটি ভালো
অমরকণ্টক হয়ে অমরনাথ যাত্রা,ঘুরপথে কাজ করা
অমাবস্যার অন্ধকার,নিবিড় হতাশাজনক অবস্থা
অমাবস্যার চাঁদ,অদর্শনীয় বস্তু
অমৃতং বালভাষিতম,শিশুর কথা শ্রুতিমধুর
অমৃতং সুভাষিতম,সুবচন অমৃতসমান
অমৃতপথযাত্রা,পরলোকযাত্রা
অমৃতে অরুচি,অতিপ্রিয় বস্তুর প্রতি বিরাগ
অমৃতের পুত্র,ঈশ্বরের পুত্র মানুষ
অমেরুদণ্ডী,দুর্বলচরিত্রের লোক
অম্লমধুর বাক্য,মিষ্টি কিন্তু ঝাঁঝালো বাক্য
অম্লমধুর সম্পর্ক,কড়া ও নরম মিশ্রিত সম্পর্ক
অম্লানবদনে,নিঃসঙ্কোচে
অয়েল করা,তোয়াজ করা
অরণ্যেরোদন,বৃথা ক্রন্দন
অরুচি ধরা,বিরূপ মনোভাবের সৃষ্টি
অরুচির অম্বল শীতের কম্বল,অবশ্য প্রয়োজনীয় বস্তু
অর্জুনের গাণ্ডীব,অমোঘ অস্ত্র
অর্থগৃধ্নু,কৃপণ
অর্থদণ্ড,অনর্থক অর্থ ব্যয়
অর্থপিশাচ,অর্থলাভে ন্যায়-অন্যায়বোধশূন্য
অর্থমনর্থম্,অর্থই নষ্টের গোড়া
অর্ধচন্দ্র দেওয়া,অপমান করে বিদায় করা
অর্ধজরতীন্যায়,মতদ্বৈধতায় উভয়পক্ষের অংশ নিয়ে সিদ্ধান্ত
অলকাতিলকা,চন্দনাদি দিয়ে মুখসজ্জা
অলক্ষ্মী,গৃহকর্মে অনিপুণা স্ত্রীলোক
অলক্ষ্মীর দশা,দারিদ্র
অল দা সেম,অপরিবর্তিত
অলপ্পেয়ে,আয়ু অল্প হবে
অলম্বুষ,অলস প্রকৃতির লোক
অলিগলি,খুব সরু পথ
অলিপান,মদ
অলোকসামান্যা,অসাধারণ সুন্দরী নারী
অল্পজলের মাছ,অল্প বিদ্যার লোক
অল্পবিদ্যা ভয়ংকরী,সামান্য বিদ্যা ক্ষতিকর
অল্পের উপর দিয়ে যাওয়া,সামান্য ক্ষতিতে রেহাই পাওয়া
অশনিসঙ্কেত,ঘোর বিপদের সম্ভাবনা
অশিক্ষিত পটুত্ব,শিক্ষা ছাড়াই নৈপুণ্য
অশুভস্য কালহরনম,অশুভ কাজে কালক্ষেপণ অনুচিত
অশ্বডিম্ব,অসম্ভব বস্তু
অশ্বতর,খচ্চর
অশ্বত্থামা হত ইতি গজ,সত্যের আবরণে মিথ্যাভাষণ
অশ্বমেধযজ্ঞ,বিরাট আয়োজন
অশ্বিনীকুমার,শ্রেষ্ঠ চিকিৎসক
অষ্টকপালে,অভাগা
অষ্টকুষ্টি পুত্র,অবৈধ সন্তান
অষ্টবজ্রসম্মেলন,জ্ঞানীদের সমাবেশ
অষ্টমঙ্গলা,বিয়ের আটদিন পর কনের বাপের বাড়ি আসার সংস্কার
অষ্টরম্ভা,শূন্য
অষ্টাবক্র,অত্যন্ত বাঁকাচরিত্রের লোক
অষ্টেপৃষ্ঠে,সারা অঙ্গে
অসিত অশ্বডিম্বের অন্বেষণ,অসম্ভবের পিছনে ছোটা
অসূর্যস্পশ্যা,পর্দানশিনা নারী
অস্ত যাওয়া,পতন হওয়া
অস্তিনাস্তি,থাকা-না-থাকা
অস্ত্র,উদ্দেশ্যসাধনের হাতিয়ার
অস্থিচর্মসার,অতিকৃশ
অস্থিতপঞ্চ,চিন্তাকুলতা
অহংবুদ্ধি,আমিই সব এমন দম্ভ
অহি-নকুল সম্পর্ক,চির শত্রুতা
অহিতে বিপরীত,অনিষ্ট থেকে ইষ্ট লাভ
অ্যাকটিং করা,ভান করা
আইডিয়া,মনোগত বিষয়
"আইতে ছাগল, যাইতে পাগল",ধৈর্যহীন
আইবুড়ো পথ বদলানো,প্রচলিত পথ পরিবর্তন করা
আইল্যাণ্ড,বিচ্ছিন্ন উঁচু জায়গা
আউট,বেসামাল
আওয়াজ তোলা,তীব্র প্রতিবাদ করা
আওয়াজ দেওয়া,বিদ্রুপাত্মক ধ্বনি দেওয়া
আঁচলধরা,স্ত্রীলোকের নির্দেশে চলা
আঁচলে গেরো,কিছু মনে রাখার জন্য আঁচলে গিঁট
আঁচলের নিচে থাকা,স্ত্রীলোকের নির্দেশে চলা
আঁচাআঁচি,পরস্পরের দোষ অনুসন্ধান
আঁজলপাঁজল করা,গা ঝাড়া দেওয়া
আঁটআঁট,অল্পকষা
আঁটকুড়ের ব্যাটা,অবৈধ সন্তান
আঁটসাঁট,টানটান
আঁটাআটি,স্বার্থপরতা
আঁটি চোষা,অসার বস্তুগ্রহণ
আঁটুবাঁটু,জড়সড় ভাব
আঁটুনিকসুনি সার,কেবল আড়ম্বরমাত্র
আঁটোসাটো,দৃঢ়বদ্ধ
আঁত খালি,পেটে অন্ন নেই
আঁত পাওয়া ভার,চাপাস্বভাবের লোক
আঁত বুঝে চলা,মনোভাব বুঝে চলা
আঁতমরা,অল্পভোজী
আঁতলামি,নকলপণ্ডিতি
আঁতিপাঁতি খোঁজা,তন্নতন্ন করে খোঁজা
আঁতুপুঁতু করা,অতিরিক্ত যত্ন নেওয়া
আঁতুড়ে খোকা,নিতান্ত শিশু
আঁতে ঘা দেওয়া,অন্তরে ঘা দেওয়া
আঁতের টান,অন্তরের টান
আঁতেল,বুদ্ধিজীবীর অনুকরণকারী
আঁদাড়-পাঁদাড়,আবর্জনা ভর্তি স্থান
আঁধার ঘরের আলো,দুঃখীর একমাত্র সুখ
আঁধারে ঢিল ছোঁড়া,আন্দাজে কিছু করা
আঁধারের আলো,আনন্দদানকারী বস্তু
আঁস্তাকুড়ের পাত,নীচমনা ব্যক্তি
আককাটা,কাণ্ডজ্ঞানহীন মূর্খ
আককুটে,জেদী
আকখুটের দশা,অসঞ্চয়ীর লক্ষণ
আকচাআকচি,পরস্পর ঈর্ষা-দ্বন্দ্ব
আকচার,প্রায়ই
আকটবিকট,বিকটাকার বিশ্রী আকৃতি
আকণ্ঠ,সম্পূর্ণভাবে
আকবরের আমল,অনেকদিন আগের কথা
আকর্ণবিস্তৃত হাসি,সারামুখ ছড়িয়ে হাসি
আকলমন্দি,বুদ্ধিমত্তা
আকাট মূর্খ,নিরেট বোকা
আকার-ইঙ্গিতে,চোখ ও মুখের ভঙ্গীতে
আকাল,দুর্ভিক্ষ
আকাশকুসুম,অলীক কল্পনা
আকাশ-চাওয়া,আকাশের দিকে চেয়ে অপেক্ষা
আকাশচুম্বী,অত্যন্ত উচ্চ
আকাশ ছোঁয়া,অতি উচ্চে ওঠা
আকাশ থেকে কথা বলা,অহঙ্কারী হওয়া
আকাশ থেকে পড়া,অত্যন্ত বিস্মিত হওয়া
আকাশদীপ,কার্তিকমাসে বাঁশের মাথায় বাতি
আকাশদুহিতা,প্রতিধ্বনি
আকাশ ধরা,বৃষ্টি থামা
আকাশপাতাল,সর্বত্র
আকাশপাতাল এক করা,অসম্ভবকে সম্ভব করা
আকাশপাতাল খোঁজা,সর্বত্র তন্নতন্ন করে খোঁজা
আকাশপাতাল চিন্তা,উদ্দেশ্যহীন দুশ্চিন্তা
আকাশপাতাল তফাৎ,প্রচুর ব্যবধান
আকাশপাতাল ভেবে না পাওয়া,দিশেহারা হওয়া
আকাশপ্রদীপ,পূর্বপুরুষদের উদ্দেশে প্রদীপ
আকাশবন্যা,ভারি বৃষ্টিপাতে প্লাবন
আকাশবাণী,দৈববাণী
আকাশবিহারী,কল্পনাপ্রবণ
আকাশবুড়ির সূতা,চুল লম্বা করার বিশ্বাসে খোঁপায় গুঁজা
আকাশ ভাঙ্গা,প্রবল বৃষ্টিপাত
আকাশ ভেঙ্গে পড়া,আকস্মিক বিপদে দিশাহারা
আকাশশয়ন,উন্মুক্তস্থানে শোয়া
আকাশ হ'ল সীমা,কোন সীমা নেই
আকাশ হাতে পাওয়া,দুরাশা পূর্ণ হওয়া
আকাশে ওড়া,আনন্দে আত্মহারা
আকাশে তোলা,অতিরিক্ত প্রশংসা করা
আকাশে থুথু ফেলা,নিজের ক্ষতি করা
আকাশে ফাঁদ পেতে চাঁদ ধরা,অলীক কল্পনা
আকাশের চাঁদ,দুর্লভবস্তু
আকাশের চাঁদ পাড়া,অসম্ভবকে সম্ভব করা
আকাশের চাঁদ হাতে পাওয়া,দুর্লভ বস্তুপ্রাপ্তি
আকাশের তারা গোনা,অকাজে সময় কাটানো
আকুলি-বিকুলি করা,উৎকণ্ঠিত হওয়া
আক্কেলগুড়ুম,হতবুদ্ধি
আক্কেলদাঁত না গজানো,অপরিণত বুদ্ধি
আক্কেলমন্ত,বুদ্ধিশুদ্ধি
আক্কেলসেলামী,নির্বুদ্ধিতার দণ্ড
আক্কেল হওয়া,বিপদে শিক্ষা নেওয়া
আখের গুছানো,স্বার্থ হাসিল করা
আখের বুঝে চলা,পরিণতির চিন্তা করে চলা
আখেরি জমানা,কলিযুগ
আখেরে লাভ,শেষপর্যন্ত লাভ
আগড়বাগড় কথা,অসংলগ্ন কথাবার্তা
আগড়বাগড় খেয়ে পেট ভরানো,অসার খাদ্য খেয়ে উদরপূর্তি
আগাগোড়া,শুরু থেকে শেষপর্যন্ত
আগা-পাছতলা,সর্বাঙ্গ
আগামাথা,শুরু বা শেষ
আগুন দেওয়া,উত্তেজিত করা
আগুন নিয়ে খেলা করা,বিপজ্জনক বিষয় নিয়ে ছিনিমিনি
আগুন পোয়ানো,আগুনের কাছে গরম করা
আগুন লাগা,বিশৃঙ্খলা প্রভৃতির আবির্ভাব
আগুন-লাগা সংসার,নষ্ট হচ্ছে সংসার
আগুন লাগানো,রাগিয়ে দেওয়া
আগুন হওয়া,প্রচণ্ড রেগে যাওয়া
আগুনে ঘি ঢালা,রাগ বাড়ানো
আগুনে জল ঢালা,রাগ কমানো
আগুনের কাছে ঘি,দ্বিতীয়ের ক্ষতি হয়
আগুপাছু করা,ইতঃস্তত করা
আগেআগে,সামনে
আগেভাগে,সর্বাগ্রে
আঙুর ফল টক,অলভ্য জিনিস মন্দ
আঙুল কামড়ানো,আফসোস করা
আঙুল ঘুরিয়ে পাঁচিল দেওয়া,ক্ষুদ্রচেষ্টায় বিরাট কর্ম
আঙুল ফুলে কলাগাছ,হঠাৎ বড়লোক
আঙুল মটকানো,অভিশাপ দেওয়া
আচমকা সুন্দরী,ক্ষণিক রূপের মোহ
আচাভুয়া-বোম্বাচাক,অত্যদ্ভূত বিষয়
আছোলা বাঁশ খাওয়া,কষ্টকর যন্ত্রণা ভোগ
আছোলা বাঁশ দেওয়া,সর্বনাশ করা
আছোলা বাঁশ নেওয়া,বিপদ ডেকে আনা
আজকাল,বর্তমানকাল
আজকাল করা,অযথা দেরি করা
আজকাল বাদে,দু'দিন বাদে
আজকালের মধ্যে,অনতিবিলম্বে
আজকের মত,আজকের উপযোগী
আজ খেতে কাল নেই,দিন গুজরান করা
আজ গেলে দুদিন হবে,দিন কাটতেই চায় না
আজ-নয়-কাল,অযথা সময় নষ্ট
আজ-বাদে-কাল,শীঘ্রই
আজেবাজে,তুচ্ছ
আঝালি,নির্জীব
আটকড়াই,অষ্টমদিনে কলাইভাজা বিতরণ
আটকপালে,অভাগা
আটকাট,সবদিক
আটকিয়া,জগন্নাথের প্রসাদ
আট কুঠুরি নয় দরজা,শরীরের গ্রন্থি ও দ্বার
আটকুড়ের ব্যাটা,অসম্ভব ব্যাপার
আট্কে বাঁধা,প্রসাদ পাওয়ার অর্থদান
আটখানা হওয়া,আনন্দে অধীর হওয়া
আটঘাট বাঁধা,সবদিক সুরক্ষিত করা
আটপৌরে কাপড়,ঘরে পরার জামাকাপড়
আটপৌরে ভাষা,কথ্যভাষা
আটা পেষাই করা,বেদম প্রহার করা
আটাশে ছেলে,ভীরু
আটেকাটে,কষ্টসহিষ্ণু
আটুপাটু,ব্যাকুলতা
আঠা,আগ্রহ
আটারো আনা,যথেষ্ট সম্ভাবনা
আটারো ঘা,নানাপ্রকার ব্যাধি
আটারো মাসে বছর,অকর্মণ্যতা
আড্ডা গাড়া,অস্থায়ী বাসা বাঁধা
আড়ংঘাটা,নৌকায় চড়ার ঘাট
আড়ং ধোলাই,সপাটে আছাড় মারা
আড়ংহাটা,বড়বাজার
আড়কাঠি,খবরসংগ্রাহক
আড়কালা,এক কানে শুনতে না পাওয়া
আড় নেই,মুখের লাগাম নেই
আড়পাগলা,ক্ষেপাটে
আড়বগ্‌গা,গোঁয়ার
আড়বুঝ,বাঁকাবুদ্ধি
আড় ভাঙা,জড়তা কাটানো
আড়মোড়া ভাঙা,আড়ষ্টভাব কাটান
আড় হওয়া,কাত হয়ে শোয়া
আড়া,বক্রস্বভাবের লোক
আড়াআড়ি,পরস্পর দ্বেষাদ্বেষি
আড়াই অক্ষরে,সংক্ষেপে
আড়াই দিনের বাদশাহী,অল্পদিনের বিলাসিতা
আড়াই হাত,কাজের কঠিন অংশ
আড়ালে আবডালে,লুকিয়ে চুরিয়ে
আড়িপাতা,আড়াল থেকে শোনা
আড়েহাতে লওয়া,প্রতিশোধ নেওয়া
আড়েহাতে লাগা,প্রাণপণে চেষ্টা
আণ্ডাবাচ্চা,ক্রোড়স্থ সন্তান
আতান্তর,সংকট
আতালিপাতালি,ব্যাকুল ও ব্যস্ত হয়ে খোঁজা
আতিপাতি,তন্নতন্ন করে
আতুআতু করা,অতিরিক্ত যত্ন করা
আত্মঘোষ,নিজের ঢাক নিজেই পেটানো
আত্মনং সততং রক্ষেৎ,নিজেকে সর্বদা রক্ষা করা
আত্মবৎ মন্যতে জগৎ,আপনার আয়নায় জগৎ দেখা
আত্মবৎ সর্বভূতেষু,সকল প্রাণীকে আত্মসম জ্ঞান
আত্ম রেখে ধর্ম,নিজের স্বার্থ সবার আগে
আত্মসর্বস্ব,স্বার্থপর
আত্মাপুরুষ,দেহস্থ আত্মা
আত্মারাম খাঁচাছাড়া হওয়া,নিদারূণ ভয়ে মৃতপ্রায়
আত্মারাম গুটিয়ে যাওয়া,অত্যন্ত ভয় পাওয়া
আত্মার্থে পৃথিবীং ত্যজেৎ,আত্মরক্ষার্থে সব পরিত্যাজ্য
আথালপাথাল,চারদিকে সর্বত্র
আদব-কায়দা,শিষ্টাচার
আদব-কায়দাদুরস্ত,শিষ্টাচারী
আদবের খেলাপ,শিষ্টাচার লঙ্ঘন
আদমের সময়,অতি প্রাচীনকালে
আদরে বাঁদর,প্রশ্রয় পেয়ে নষ্ট
আদা ওষুধের আধা,অর্ধেক রোগ ভালো করে
আদা জল খেয়ে পড়ে থাকা,ধর্ণা দেওয়া
আদাজল খেয়ে লাগা,মরিয়া হয়ে লাগা
আদাড়-পাদাড়,আবর্জনা ফেলার যায়গা
আদাড়বনে শিয়াল রাজা,নিজের এলাকায় প্রভুত্ব
আদাড়ের হাঁড়ি,নীচব্যক্তি
আদায় কাঁচকলায় সম্পর্ক,চিরবৈরিতা
আদার ব্যাপারী,ক্ষুদ্র ব্যবসায়ী
আদিরস,শৃঙ্গাররস
আদুরে গোপাল,অতিরিক্ত আহ্লাদী
আদেখলা,এত ব্যগ্র যেন কখনো দেখেনি
আদ্যিকালের বদ্যিবুড়ো,অত্যন্ত প্রাচীন
আদরু-পেঁদরু,সাহেবিয়ানার আতিশয্য
আধাখেঁচড়া,অসম্পূর্ণ
আধা-পাগলা,বাতিকগ্রস্ত
আধাবয়সী,প্রৌঢ়
আধকামারিয়া,অর্বাচীন
আধবুড়ো,প্রৌঢ়
আধমণি কৈলাস,প্রচুর খেতে পারে
আধমরা,নিস্তেজ
